363,1,1,snd-compress.ko,1,1,1
364,360,1,nmbd,360,8,16
365,21,2,sysconf,16,2,13
366,7,1,libpinyin_data_bundle.so,7,1,2
367,99,3,audiopush,53,1,16
368,1,1,libeventparser.so.1.0.0.2,1,1,1
369,8,1,MiuiGallery.odex,8,1,8
370,47,2,_pluto_adns,45,2,7
371,129,1,libEGL.so,129,1,39
372,6,1,GameCenter.odex,6,1,6
373,3,1,xfrm4_tunnel.ko,3,1,1
374,3,1,ath79_wdt.ko,3,1,3
375,3,1,hamachi.ko,3,1,2
376,24,12,libchromatix_ov4688_hfr_90.so,2,1,12
377,1,1,librs.grey.so,1,1,1
378,25,1,libem_bt_jni.so,25,1,8
379,2,2,gpiodrv_ptz.ko,1,1,2
380,5,1,libnopoll.so,5,2,1
381,14,1,libdpmnsrm.so,14,1,7
382,8,1,libnvremotell.so,8,1,2
383,175,1,acsd,175,5,45
384,26,1,quipc_main,26,1,6
385,4,1,libreflex-jni.so,4,1,1
386,20,2,libDxDrmJava.so,11,1,5
387,3,1,librmvdemux.so,3,1,1
388,3,1,xor.ko,3,1,2
389,2,1,tea5767.ko,2,1,1
390,9,1,fsgrab,9,1,1
391,3,1,3c589_cs.ko,3,1,2
392,40,2,libsrsprocessing.so,39,1,13
393,17,1,axhttpd,17,1,6
394,7,1,libjson_script.so,7,1,6
395,31,1,libtinyxml2.so,31,1,3
396,19,1,rc,19,1,15
397,1,1,lantiq_atm.ko,1,1,1
398,3,1,libdsm.so,3,1,1
399,2,1,ipt_LOG.ko,2,1,2
400,22,16,5EE858,2,1,2
401,1,1,fireball,1,1,1
402,24,1,xinetd,24,1,1
403,141,1,libacos_shared.so,141,1,110
404,7,1,liblistenhardware.so,7,1,1
405,2,1,libGLESv2_dbg.so,2,1,2
406,9,1,zixi_broadcaster_lite_nolive-3718.internal,9,1,1
407,2,2,~gpioi2c.ko,1,1,2
408,3,1,fscher.ko,3,1,2
409,36,1,libsubsystem_control.so,36,1,4
410,17,1,mailcontrol,17,1,3
411,4,1,libjni_lomoeffect.so,4,1,2
412,121,1,rtpproxy,121,1,27
413,22,1,dm-mod.ko,22,1,3
414,32,3,camera.msm8960.so,24,1,12
415,2,1,libigmp_mipc_client.so,2,1,2
416,6,2,SVIService.odex,4,1,6
417,22,1,libpegwql.so.1,22,1,4
418,1,1,mount.exfat-fuse,1,1,1
419,20,1,libmyphoto.so,20,1,7
420,1,1,hwdmz.o,1,1,1
421,3,1,advansys.ko,3,1,2
422,25,1,sdptool,25,2,9
423,1,1,glib-genmarshal,1,1,1
424,2,1,libnfc_sony_jni.so,2,1,1
425,10,1,commander,10,1,9
426,8,1,tftpd,8,1,4
427,1,1,dsl_cpe_control,1,1,1
428,192,2,upnp,155,2,61
429,26,1,configfs.ko,26,1,4
430,3,1,ixp425_csr_init_mod.o,3,1,3
431,3,1,eemcs_mdinit,3,1,1
432,8,1,libmemalloc.so,8,1,6
433,2,1,ipt_PERS.ko,2,1,2
434,8,1,qcrypto.ko,8,1,7
435,126,1,libGLES_android.so,126,1,30
436,2,1,libexiv2.so,2,1,1
437,6,2,AC82F4,3,1,1
438,26,1,gbsd,26,2,9
439,54,3,zipnote,18,2,51
440,3,1,cmd64x.ko,3,1,2
441,4,1,ubicom_streamengine_classifier_default.ko,4,1,2
442,76,1,libqmi.so,76,1,23
443,24,1,shutdown,24,1,4
444,8,1,hald,8,1,3
445,4,1,mixer2,4,1,2
446,8,1,libnamparser.so,8,1,4
